"","study","outcome","id","sex","age","age_error","age_sd","age_lower","age_upper","resource","units","raw_return","raw_sd","adult_return","adult_sd","adult_se"
"89","BliegeBird_2002a","BliegeBird_2002a_fig1b","BliegeBird_2002a_fig1b_12","both",11,NA,NA,NA,NA,"fish","net kcal/hr",24.521072796935,NA,75.0700280112044,371.713351707532,71.5362678899072
"90","BliegeBird_2002a","BliegeBird_2002a_fig1b","BliegeBird_2002a_fig1b_13","both",11,NA,NA,NA,NA,"fish","net kcal/hr",262.068965517241,NA,75.0700280112044,371.713351707532,71.5362678899072
"91","BliegeBird_2002a","BliegeBird_2002a_fig1b","BliegeBird_2002a_fig1b_14","both",11,NA,NA,NA,NA,"fish","net kcal/hr",334.865900383142,NA,75.0700280112044,371.713351707532,71.5362678899072
"92","BliegeBird_2002a","BliegeBird_2002a_fig2",NA,"both",NA,NA,NA,5,9,"fish","net kcal/hr",87.051,96.469,783.234111111111,835.070157309678,196.82792366673
"93","BliegeBird_2002a","BliegeBird_2002a_fig2",NA,"both",NA,NA,NA,10,13,"fish","net kcal/hr",375.156,248.506,783.234111111111,835.070157309678,196.82792366673
"94","BliegeBird_2002a","BliegeBird_2002a_fig2",NA,"both",NA,NA,NA,14,29,"fish","net kcal/hr",268.284,250.809,783.234111111111,835.070157309678,196.82792366673
"95","BliegeBird_2002a","BliegeBird_2002a_fig3","BliegeBird_2002a_fig3_1","both",4.9731182795699,NA,NA,NA,NA,"fish","net kcal/h",-13.2780082987554,NA,427.385892116182,422.272517000987,140.757505666996
"96","BliegeBird_2002a","BliegeBird_2002a_fig3","BliegeBird_2002a_fig3_2","both",6.58602150537635,NA,NA,NA,NA,"fish","net kcal/h",121.161825726141,NA,427.385892116182,422.272517000987,140.757505666996
"97","BliegeBird_2002a","BliegeBird_2002a_fig3","BliegeBird_2002a_fig3_3","both",7.66129032258065,NA,NA,NA,NA,"fish","net kcal/h",61.4107883817426,NA,427.385892116182,422.272517000987,140.757505666996
"98","BliegeBird_2002a","BliegeBird_2002a_fig3","BliegeBird_2002a_fig3_4","both",10.8870967741936,NA,NA,NA,NA,"fish","net kcal/h",270.539419087137,NA,427.385892116182,422.272517000987,140.757505666996
"99","BliegeBird_2002a","BliegeBird_2002a_fig3","BliegeBird_2002a_fig3_5","both",12.9032258064516,NA,NA,NA,NA,"fish","net kcal/h",1473.02904564315,NA,427.385892116182,422.272517000987,140.757505666996
"100","BliegeBird_2002a","BliegeBird_2002a_fig3","BliegeBird_2002a_fig3_8","both",18.8172043010753,NA,NA,NA,NA,"fish","net kcal/h",68.8796680497924,NA,427.385892116182,422.272517000987,140.757505666996
"101","BliegeBird_2002a","BliegeBird_2002a_fig4",NA,"both",NA,NA,NA,5,15,"fish","net kcal/h",716.504854368933,361.301938112008,110.679611650486,98.5188490977527,32.8396163659176
